description,recommendationSource,recommendationImpact,recommendationResourceType,remediationAction,recommendationControl,acorlGuid,recommendationTypeId,recommendationMetadataState,potentialBenefits,pgVerified,publishedToLearn,automationAvailable,tags,learnMoreLink,SourceFile,SourceType,ResourceGroupName,RecommendationDate,RecommendationTypeId,RecommendationSolution,RecommendationProvider,RecommendationId,ResourceCategory,RecommendationControl,RecommendationMaturityLevel,RecommendationCategory,RecommendationDescription,RecommendationImpact,ResourceType,RecommendationDetails
Adjust backup schedules based on workload,Manual,Low,Microsoft.RecoveryServices/vaults,"Reduce backup frequency for less critical workloads by customizing retention policies in Azure Backup.
",UsageOptimization/OptimizeResources,ed2fc61f-26b8-4ddc-881a-b749c9516ac1,,Active,Optimize cost,False,False,False,,"[{'name': 'Schedule considerations', 'url': 'https://learn.microsoft.com/en-us/azure/backup/guidance-best-practices#schedule-considerations'}]",content/azure-resources/recoveryServicesVault/recommendations.yaml,YAML,,,,,,,,,,,,,,
Consider using differential and log backups,Manual,Low,Microsoft.RecoveryServices/vaults,"Instead of frequent full backups, implement transaction log backups for SQL databases and incremental snapshots for virtual machines to save on storage.
",UsageOptimization/OptimizeResources,bc5ab84f-4914-42e4-a249-0666faec7a71,,Active,Optimize cost,False,False,False,,"[{'name': 'Transaction log backups (SQL Server)', 'url': 'https://learn.microsoft.com/en-us/sql/relational-databases/backup-restore/transaction-log-backups-sql-server?view=sql-server-ver16'}]",content/azure-resources/recoveryServicesVault/recommendations.yaml,YAML,,,,,,,,,,,,,,
Distribute backup workloads,Manual,Low,Microsoft.RecoveryServices/vaults,Use Azure Backup's built-in scheduling tools to stagger backup times and avoid peak-hour costs. Set up Azure Automation Runbooks to automate and optimize backup execution,UsageOptimization/OptimizeResources,bea81a41-febd-4dd1-bb99-2fe98eb02246,,Active,,,,,,,content/azure-resources/recoveryServicesVault/recommendations.yaml,YAML,,,,,,,,,,,,,,
AKS cluster agent pool scale set is not utilizing Spot VMs,Manual,Medium,Microsoft.containerservice/managedclusters,"Consider enabling Spot VMs for this AKS cluster to optimize costs, as Spot VMs offer significantly lower pricing compared to regular VMs
",UsageOptimization/OptimizeResources,c26abcc2-d5e6-4654-be4a-7d338e5c1e5f,,Active,Optimize existing resources,True,False,True,,"[{'name': 'xx', 'url': 'https://aka.ms/finops/toolkit'}]",content/azure-resources/compute/managedClusters/recommendations.yaml,YAML,,,,,,,,,,,,,,
Match VM sizes with actual workload requirements to avoid paying for unused capacity.,Manual,Medium,Microsoft.Compute/virtualMachines,"Use Microsoft Copilot in Azure to identify the best VM size based on your scenario needs and assess it in the context of your other configuration requirements.
",UsageOptimization/OptimizeResources,ce9ea6b1-e748-4013-aa71-a196b3bdba7a,,Active,Optimize existing resources,False,False,False,,"[{'name': 'Using Microsoft Copilot in Azure to find the best VM size for you', 'url': 'https://techcommunity.microsoft.com/blog/azurecompute/using-microsoft-copilot-in-azure-to-find-the-best-vm-size-for-you/4356049'}, {'name': 'Deploy virtual machines effectively using Microsoft Copilot in Azure', 'url': 'https://learn.microsoft.com/en-us/azure/copilot/deploy-vms-effectively'}]",content/azure-resources/compute/virtualMachines/recommendations.yaml,YAML,,,,,,,,,,,,,,
Use Burstable (B-Series) VMs,Manual,Low,Microsoft.Compute/virtualMachines,"Use Burstable VMs for workloads that typically have low CPU usage, offering cost efficiency for intermittent activity.
",UsageOptimization/OptimizeResources,2185ecf8-7084-432a-8d86-729c1155c778,,Active,Optimize existing resources,False,False,False,,"[{'name': 'B-Series VM size', 'url': 'https://learn.microsoft.com/en-us/azure/virtual-machines/sizes/general-purpose/b-family'}, {'name': 'B-Series CPU Credit Model', 'url': 'https://learn.microsoft.com/en-us/azure/virtual-machines/sizes/b-series-cpu-credit-model'}]",content/azure-resources/compute/virtualMachines/recommendations.yaml,YAML,,,,,,,,,,,,,,
Use Spot VMs,Manual,Low,Microsoft.Compute/virtualMachines,"Use Spot VMs to take advantage of discounted pricing for interruptible workloads like batch processing, testing, and stateless applications.
",UsageOptimization/OptimizeResources,c4ee932c-d5e5-4759-a275-7c333086f9bd,,Active,Optimize existing resources,False,False,False,,"[{'name': 'Use Azure Spot Virtual Machines', 'url': 'https://learn.microsoft.com/en-us/azure/virtual-machines/spot-vms'}, {'name': 'Spot Virtual Machine size recommendation', 'url': 'https://learn.microsoft.com/en-us/azure/virtual-machine-scale-sets/spot-vm-size-recommendation'}]",content/azure-resources/compute/virtualMachines/recommendations.yaml,YAML,,,,,,,,,,,,,,
Automatically Start/Stop VMs based on usage patterns,Manual,Medium,Microsoft.Compute/virtualMachines,"Use the Start/Stop VMs v2 feature to automatically start and stop Azure VMs based on a custom schedule. This reduces costs by running VMs only when needed. The feature supports multiple subscriptions, provides usage insights via Azure Application Insights, and can send optional notifications through action groups. Configure it in the Azure portal to optimize resource usage and cost efficiency.
",UsageOptimization/OptimizeResources,bcc098d1-9138-4ce2-8c43-e2fdaf28e714,,Active,Optimize existing resources,False,True,True,,"[{'name': 'Start/Stop VMs', 'url': 'https://learn.microsoft.com/en-us/azure/azure-functions/start-stop-vms/overview'}]",content/azure-resources/compute/virtualMachines/recommendations.yaml,YAML,,,,,,,,,,,,,,
Modernize workloads,Manual,Medium,Microsoft.Compute/virtualMachines,"Evaluate transitioning applications to Azure App Service or Azure Kubernetes Service (AKS) for scalable and cost-effective alternatives to traditional VMs.
",UsageOptimization/OptimizeResources,b5fc6ddb-e08b-4355-b3a4-15a4e8747aba,,Active,Optimize existing resources,False,True,True,,"[{'name': 'Assessment overview (migrate to Azure App Service)', 'url': 'https://learn.microsoft.com/en-us/azure/migrate/concepts-azure-webapps-assessment-calculation'}, {'name': 'Migrate to Azure Kubernetes Service (AKS)', 'url': 'https://learn.microsoft.com/en-us/azure/aks/aks-migration'}]",content/azure-resources/compute/virtualMachines/recommendations.yaml,YAML,,,,,,,,,,,,,,
Choose the right disk types for your workloads,Manual,Low,,"Before deploying your environment, understand the available disk types and their features. Use the Azure Pricing Calculator to estimate costs. For instance, Azure Premium SSD v2 allows you to fine-tune performance independently of disk size, helping optimize both cost and efficiency.
",UsageOptimization/OptimizeResources,,,Active,Optimize cost,False,False,False,,"[{'name': 'Azure managed disk types', 'url': 'https://learn.microsoft.com/en-us/azure/virtual-machines/disks-types'}]",content/azure-resources/compute/disks/recommendations.yaml,YAML,,,,,,,,,,,,,,
Leverage reserved capacity for Premium SSDs,Manual,Low,,"Prepaying for reserved capacity can significantly reduce the total cost of your environment by offering discounts on Premium SSD storage.
",UsageOptimization/OptimizeResources,,,Active,Optimize cost,False,False,False,,"[{'name': 'Reduce costs with Azure Disks Reservation', 'url': 'https://learn.microsoft.com/en-us/azure/virtual-machines/disks-reserved-capacity'}]",content/azure-resources/compute/disks/recommendations.yaml,YAML,,,,,,,,,,,,,,
Dynamically adjust performance for Ultra Disk Storage and Premium SSD v2,Manual,Low,,"These disk types allow performance adjustments a limited number of times within a 24-hour period. By scaling performance up during high demand (increasing cost) and down when demand decreases (reducing cost), you can optimize both performance and spending.
",UsageOptimization/OptimizeResources,,,Active,Optimize cost,False,False,False,,"[{'name': 'Using Azure Ultra Disks', 'url': 'https://learn.microsoft.com/en-us/azure/virtual-machines/disks-enable-ultra-ssd?tabs=azure-portal'}, {'name': 'Deploy Premium SSD v2', 'url': 'https://learn.microsoft.com/en-us/azure/virtual-machines/disks-deploy-premium-v2?tabs=azure-cli'}]",content/azure-resources/compute/disks/recommendations.yaml,YAML,,,,,,,,,,,,,,
Resize oversized disks to the minimum required size for the workload to optimize storage allocation,Manual,Low,,"Managed Disks cannot be shrunk, but they can be expanded if needed. To downsize, you need to create a new smaller disk and migrate data.
",UsageOptimization/OptimizeResources,,,Active,Optimize cost,False,False,False,,"[{'name': 'Decrease the size of an Azure data disk without losing data', 'url': 'https://learn.microsoft.com/en-us/troubleshoot/azure/virtual-machines/windows/downsize-data-disk-without-losing-data?tabs=windows'}]",content/azure-resources/compute/disks/recommendations.yaml,YAML,,,,,,,,,,,,,,
Consider using Ephemeral OS Disks for stateless workloads where OS persistence isn’t required,Manual,Low,,"Ephemeral OS Disks offer temporary storage at no cost, ideal for auto-scaling environments (e.g., VM Scale Sets), dev/test workloads and stateless applications.
",UsageOptimization/OptimizeResources,,,Active,Optimize cost,False,False,False,,"[{'name': 'Ephemeral OS disks for Azure VMs', 'url': 'https://learn.microsoft.com/en-us/azure/virtual-machines/ephemeral-os-disks'}]",content/azure-resources/compute/disks/recommendations.yaml,YAML,,,,,,,,,,,,,,
Choose the right app service plan,Manual,Medium,Microsoft.Web/serverfarms,"Choose the right App Service Plan tier based on workload needs: Free/Shared for testing, Basic/Standard for predictable production workloads, and Premium for high-performance apps requiring advanced features. Regularly assess usage to avoid over-provisioning and eliminate unnecessary costs.
",UsageOptimization/OptimizeResources,805b2668-ff6a-4c7d-86de-4fecb9279213,,Active,Optimize existing resources,False,False,False,,"[{'name': 'Azure App Service plan overview', 'url': 'https://learn.microsoft.com/en-us/azure/app-service/overview-hosting-plans'}, {'name': 'Understand the full billing model for Azure App Service', 'url': 'https://learn.microsoft.com/en-us/azure/app-service/overview-manage-costs#understand-the-full-billing-model-for-azure-app-service'}]",content/azure-resources/Web/serverfarms/recommendations.yaml,YAML,,,,,,,,,,,,,,
Upgrade from PremiumV2 to Premium V3,Manual,High,Microsoft.Web/serverfarms,"Upgrade your app service plans to Premium V3 for improved performance while saving around 20% compared to Premium V2. Use the App Service Pricing Calculator to compare costs and optimize your plan.
",UsageOptimization/OptimizeResources,b0d55865-daec-451a-8568-f779fa692bc4,,Active,Optimize existing resources,False,False,False,,"[{'name': 'Configure Premium V3 tier for Azure App Service', 'url': 'https://learn.microsoft.com/en-us/azure/app-service/app-service-configure-premium-tier'}, {'name': 'Azure App Service on Windows pricing', 'url': 'https://azure.microsoft.com/en-us/pricing/details/app-service/windows/'}]",content/azure-resources/Web/serverfarms/recommendations.yaml,YAML,,,,,,,,,,,,,,
Consider consolidating apps into fewer plans,Manual,Medium,Microsoft.Web/serverfarms,"To save costs, host multiple apps in one App Service Plan if resources allow. Ensure the plan can handle the additional load to avoid performance issues. Isolate an app in a new plan if it's resource-intensive, requires independent scaling, or needs deployment in a different region. Refer to SKU limits to avoid overloading. Keep in mind that active slots also consume resources.
",UsageOptimization/OptimizeResources,cff32dc5-57ec-45bf-ba4e-f695b13de92b,,Active,Optimize existing resources,False,False,False,,"[{'name': 'Should I put an app in a new plan or an existing plan?', 'url': 'https://learn.microsoft.com/en-us/azure/app-service/overview-hosting-plans#should-i-put-an-app-in-a-new-plan-or-an-existing-plan'}]",content/azure-resources/Web/serverfarms/recommendations.yaml,YAML,,,,,,,,,,,,,,
Implement efficient autoscaling,Manual,Medium,Microsoft.Web/serverfarms,"Use autoscaling instead of manual instance adjustments to optimize performance and costs. Choose a rule-free autoscaling option for simplicity, or define precise rules based on thorough performance testing. Ensure enough resources are available to meet performance targets, and account for application initialization time when setting scaling rules.
",UsageOptimization/OptimizeResources,cc18a06a-82cb-40ae-b72a-56b923f5ddbc,,Active,Optimize existing resources,False,False,False,,"[{'name': 'Overview of autoscale in Azure', 'url': 'https://learn.microsoft.com/en-us/azure/azure-monitor/autoscale/autoscale-overview'}]",content/azure-resources/Web/serverfarms/recommendations.yaml,YAML,,,,,,,,,,,,,,
Consider Serverless Options for Microservices,Manual,Low,Microsoft.Web/serverfarms,"Reduce costs and simplify management by replacing App Services with Azure Functions for event-driven workloads and Logic Apps for workflow automation. These serverless options scale automatically, eliminating infrastructure overhead while optimizing performance.
",UsageOptimization/OptimizeResources,bdaf8daa-586e-4779-ae6e-00ac2fc65327,,Active,Optimize existing resources,False,False,False,,"[{'name': 'Azure serverless overview Create cloud-based apps and solutions with Azure Logic Apps and Azure Functions', 'url': 'https://learn.microsoft.com/en-us/azure/logic-apps/logic-apps-serverless-overview'}]",content/azure-resources/Web/serverfarms/recommendations.yaml,YAML,,,,,,,,,,,,,,
Analyze Network Traffic Patterns,Manual,Low,Microsoft.Network,"Review inbound and outbound traffic patterns using Azure Network Watcher to identify inefficient routing or unnecessary data transfers that may increase costs.
",UsageOptimization/OptimizeResources,23d0c37c-dbfe-4b99-ab17-1f0dcf35e36f,,Active,Optimize cost,False,False,False,,"[{'name': 'Overview Azure Network Watcher', 'url': 'https://learn.microsoft.com/en-us/azure/network-watcher/network-watcher-overview'}]",content/azure-resources/network/recommendations.yaml,YAML,,,,,,,,,,,,,,
Minimize Cross-Region Traffic,Manual,Low,Microsoft.Network,"To minimize cross-region data transfer costs, design your applications to keep traffic within the same Azure region whenever possible. Group related resources within the same region to avoid unnecessary data transfer charges.
",UsageOptimization/OptimizeResources,d68bbda7-1896-4900-89a3-8e619190037b,,Active,Optimize cost,False,False,False,,"[{'name': None, 'url': 'https://learn.microsoft.com/en-us/azure/architecture/networking/#best-practices'}, {'name': None, 'url': 'https://learn.microsoft.com/en-us/azure/architecture/networking/guide/spoke-to-spoke-networking'}]",content/azure-resources/network/recommendations.yaml,YAML,,,,,,,,,,,,,,
Evaluate VNet Peering vs. ExpressRoute for Inter-Region Connections,Manual,Low,Microsoft.Network,"VNet Peering typically provides lower latency and costs for inter-region traffic within Azure. However, for high-volume traffic, ExpressRoute may be a more cost-effective option.
",UsageOptimization/OptimizeResources,2b2574f8-e392-41d8-8b18-e6cf8e11a905,,Active,Optimize cost,False,False,False,,"[{'name': None, 'url': 'https://learn.microsoft.com/en-us/azure/expressroute/virtual-network-connectivity-guidance'}]",content/azure-resources/network/recommendations.yaml,YAML,,,,,,,,,,,,,,
Utilize Basic SKUs for Test Environments,Manual,Low,Microsoft.Network,"Use the Basic SKU for non-production environments, such as development or testing, where high availability and advanced features are not required. Therefore, for non-production environments, while Basic SKUs can be utilized, ensure that the specific resources you plan to use are not slated for retirement and that their feature limitations align with your testing or development needs.
",UsageOptimization/OptimizeResources,8a6cea3d-3973-4076-b030-e561f5073946,,Active,Optimize cost,False,False,False,,"[{'name': 'About gateway SKUs', 'url': 'https://learn.microsoft.com/en-us/azure/vpn-gateway/about-gateway-skus'}]",content/azure-resources/network/recommendations.yaml,YAML,,,,,,,,,,,,,,
Monitor Bandwidth Usage with Azure Monitor,Manual,Low,Microsoft.Network,"Set up alerts to detect traffic spikes that may indicate increased data transfer costs.
",UsageOptimization/OptimizeResources,add87d64-9441-44c6-b808-5d586417e365,,Active,Optimize cost,False,False,False,,"[{'name': 'Choosing the right type of alert rule', 'url': 'https://learn.microsoft.com/en-us/azure/azure-monitor/alerts/alerts-types'}]",content/azure-resources/network/recommendations.yaml,YAML,,,,,,,,,,,,,,
Choose Between Microsoft Network and Public Internet,Manual,Low,Microsoft.Network,"Azure routes outbound traffic through the Microsoft global network, offering lower latency and higher reliability. However, for large volumes of outbound traffic, routing through the public internet can be more cost-effective. It's essential to evaluate your application's performance requirements and data transfer costs to determine the most suitable routing option.
",UsageOptimization/OptimizeResources,ff44a480-66fb-48bb-ad80-a660fe912c2b,,Active,Optimize cost,False,False,False,,"[{'name': 'What is routing preference', 'url': 'https://learn.microsoft.com/en-us/azure/virtual-network/ip-services/routing-preference-overview'}]",content/azure-resources/network/recommendations.yaml,YAML,,,,,,,,,,,,,,
Purchase RI for supported services based on usage - Network appliance virtual machine,Manual,Low,Microsoft.Network/networkVirtualAppliances,"Purchase Reserved Instances (RI) for Network Appliance Virtual Machines to save up to 72% on costs by committing to a one- or three-year term, ensuring predictable spending for consistently used network appliances like firewalls and VPN gateways.
",RateOptimization/OptimizingUsage,e551192c-8603-43e1-a4c8-6ccbfcc9ee4e,,Active,Optimize cost,False,False,False,,"[{'name': 'Save costs with Azure Reserved VM Instances', 'url': 'https://learn.microsoft.com/en-us/azure/virtual-machines/prepay-reserved-vm-instances'}]",content/azure-resources/network/networkVirtualAppliances/recommendations.yaml,YAML,,,,,,,,,,,,,,
Consider migrating to Front Door Standard/Premium,Manual,Low,Microsoft.Network/frontDoors,"Front Door Classic tier contains a large number of domains or routing rules, which adds extra charges. Front Door Standard or Premium doesn't charge per additional domain or routing rule. Consider migrating to save costs.
",UsageOptimization/OptimizeResources,c4bb7be2-7990-40d8-97e1-e446a7499896,,Active,Optimize cost,False,False,False,,"[{'name': 'Consider migrating to Front Door Standard/Premium', 'url': 'https://learn.microsoft.com/en-us/azure/advisor/advisor-reference-cost-recommendations#consider-migrating-to-front-door-standardpremium'}]",content/azure-resources/network/frontDoors/recommendations.yaml,YAML,,,,,,,,,,,,,,
Use Bastion Developer SKU for Non-Production Environments,Manual,Low,Microsoft.Network/bastionHosts,"A cost-effective option for development and testing environments.
",UsageOptimization/OptimizeResources,50a60052-4694-4552-b164-6239e0821ae5,,Active,Optimize cost,False,False,False,,"[{'name': 'Deploy Azure Bastion - Developer SKU', 'url': 'https://learn.microsoft.com/en-us/azure/bastion/quickstart-developer-sku'}]",content/azure-resources/network/bastionHosts/recommendations.yaml,YAML,,,,,,,,,,,,,,
Migrate from Basic Load Balancer to Standard Load Balancer,Manual,Low,Microsoft.Network/loadBalancers,"The Basic Load Balancer will be discontinued in September 2025. Migrate to the Standard Load Balancer for advanced features and ongoing support.
",UsageOptimization/OptimizeResources,f1928415-f734-4108-9f68-2022c1acb0b0,,Active,Advanced features,False,False,False,,"[{'name': 'Upgrading from Basic Load Balancer - Guidance', 'url': 'https://learn.microsoft.com/en-us/azure/load-balancer/load-balancer-basic-upgrade-guidance'}]",content/azure-resources/network/loadBalancer/recommendations.yaml,YAML,,,,,,,,,,,,,,
Validate Backend Pool Configuration,Manual,Low,Microsoft.Network/loadBalancers,"Ensure backend pool validation for efficient Load Balancer utilization.
",UsageOptimization/OptimizeResources,c6836d0d-9cf6-4cb0-bcfb-8892309e59b3,,Active,Efficient utilization,False,False,False,,"[{'name': 'Backend pool management', 'url': 'https://learn.microsoft.com/en-us/azure/load-balancer/backend-pool-management'}]",content/azure-resources/network/loadBalancer/recommendations.yaml,YAML,,,,,,,,,,,,,,
Microsoft Azure load balancers enable dynamic scaling based on application demand,Manual,Low,Microsoft.Network/loadBalancer,"The dynamic scaling ensures that resources are efficiently allocated, reducing unnecessary expenditures during periods of low demand and maintaining performance during peak usage.
",UsageOptimization/OptimizeResources,fcd8fef4-4c24-4563-af00-2391630b00c6,,Active,Optimize cost,False,False,False,,"[{'name': 'Guidance for Virtual Machine Scale Sets with Azure Load Balancer', 'url': 'https://learn.microsoft.com/en-us/azure/load-balancer/load-balancer-standard-virtual-machine-scale-sets'}]",content/azure-resources/network/loadBalancer/recommendations.yaml,YAML,,,,,,,,,,,,,,
Use Azure Traffic Manager for Geographic Routing,Manual,Low,Microsoft.Network/trafficManagerProfiles,"Azure Traffic Manager's geographic routing method allows you to direct user traffic based on the source IP address's geographic location, enabling you to serve users from the nearest endpoint, thereby reducing latency and minimizing unnecessary cross-region traffic. 
",UsageOptimization/OptimizeResources,2d240a90-bd00-488d-80fd-0bf45b0dae2e,,Active,Reduce latency,False,False,False,,"[{'name': 'Configure the geographic traffic routing method using Traffic Manager', 'url': 'https://learn.microsoft.com/en-us/azure/traffic-manager/traffic-manager-configure-geographic-routing-method'}]",content/azure-resources/network/trafficManagerProfiles/recommendations.yaml,YAML,,,,,,,,,,,,,,
Use Route Tables and NSGs to Optimize Traffic Flow,Manual,Low,Microsoft.Network/networkSecurityGroups,"By leveraging custom route tables, you can direct traffic through specific paths, such as Network Virtual Appliances (NVAs), ensuring efficient routing and control over data flow. NSGs allow you to define security rules to permit or deny traffic to and from your resources, enhancing security by controlling access.
",UsageOptimization/OptimizeResources,4b26aedb-e0e0-4072-95ba-319c7d99adc6,,Active,Efficient routing,False,False,False,,"[{'name': None, 'url': 'https://learn.microsoft.com/en-us/azure/virtual-network/virtual-networks-udr-overview'}]",content/azure-resources/network/networkSecurityGroups/recommendations.yaml,YAML,,,,,,,,,,,,,,
Use Network Security Groups (NSGs) for Basic Security Needs,Manual,Low,Microsoft.Network/networkSecurityGroups,"NSGs provide a cost-effective option for controlling inbound and outbound traffic at the subnet or virtual machine level.
",UsageOptimization/OptimizeResources,75bd56ec-5b6f-4b28-a4c4-ec98dc050d73,,Active,Optimize cost,False,False,False,,"[{'name': 'About Network security groups', 'url': 'https://learn.microsoft.com/en-us/azure/virtual-network/network-security-groups-overview'}]",content/azure-resources/network/networkSecurityGroups/recommendations.yaml,YAML,,,,,,,,,,,,,,
Leverage Content Delivery Network (CDN),Manual,Low,Microsoft.Cdn/profiles,"For content-heavy applications, use Azure CDN to cache content closer to users, reducing repeated data transfers from origin servers, lowering egress costs, and improving application performance. Implementing Azure CDN can significantly enhance user experience by reducing latency and load times.
",UsageOptimization/OptimizeResources,64b3f568-fe4d-4368-b5cb-20c4130df1f4,,Active,Reduce Latency,False,False,False,,"[{'name': None, 'url': 'https://learn.microsoft.com/en-us/azure/cdn/cdn-optimization-overview'}]",content/azure-resources/network/cdn/profiles/recommendations.yaml,YAML,,,,,,,,,,,,,,
Select the Appropriate Application Gateway Tier,Manual,Low,Microsoft.Network/applicationGateways,"The Standard tier offers essential Layer 7 load balancing features, including SSL offloading and URL-based routing. In contrast, the WAF tier provides all the functionalities of the Standard tier, along with additional protection against common web vulnerabilities by inspecting incoming traffic using predefined rulesets.
",UsageOptimization/OptimizeResources,2acd3728-7e37-48d7-87a0-a32c499b55c5,,Active,Improve security,False,False,False,,"[{'name': 'Understanding Pricing for Azure Application Gateway and Web Application Firewall', 'url': 'https://learn.microsoft.com/en-us/azure/application-gateway/understanding-pricing'}]",content/azure-resources/network/applicationGateway/recommendations.yaml,YAML,,,,,,,,,,,,,,
Use Autoscaling for Application Gateway,Manual,Low,Microsoft.Network/applicationGateways,"Optimize resource allocation based on traffic demand. With autoscaling enabled, the Application Gateway and WAF v2 SKUs scale out or in based on application traffic requirements.
",UsageOptimization/OptimizeResources,4d72ab17-c0df-4d46-bd03-5be366af2301,,Active,Improve efficiency,False,False,False,,"[{'name': 'Scaling Application Gateway v2 and WAF v2', 'url': 'https://learn.microsoft.com/en-us/azure/application-gateway/application-gateway-autoscaling-zone-redundant'}]",content/azure-resources/network/applicationGateway/recommendations.yaml,YAML,,,,,,,,,,,,,,
Apply DDoS Protection Plans Selectively,Manual,Low,Microsoft.Network/ddosProtectionPlans,"While all Azure services include free basic DDoS protection, mission-critical applications can benefit from the enhanced features of the Azure DDoS Protection Plan (Standard). This premium service offers advanced mitigation capabilities, including always-on traffic monitoring, adaptive real-time tuning, and detailed attack analytics, which are essential for protecting high-priority workloads.
",UsageOptimization/OptimizeResources,a480a35f-d045-406b-a370-67fcb564024c,,Active,Targeted protection,False,False,False,,"[{'name': 'Building a DDoS Response Plan', 'url': 'https://techcommunity.microsoft.com/blog/azurenetworksecurityblog/building-a-ddos-response-plan/4372256'}]",content/azure-resources/network/ddosProtectionPlans/recommendations.yaml,YAML,,,,,,,,,,,,,,
Consider DDoS Protection Per IP for Limited Public IPs,Manual,Low,Microsoft.Network/ddosProtectionPlans,"For customers with a few public IPs, DDoS Protection per IP may be more cost-effective than the VNet-based plan.
",UsageOptimization/OptimizeResources,b53f36fe-628d-4f7a-b935-612b02983eac,,Active,Optimize cost,False,False,False,,"[{'name': 'About Azure DDoS Protection Tier Comparison', 'url': 'https://learn.microsoft.com/en-us/azure/ddos-protection/ddos-protection-sku-comparison'}]",content/azure-resources/network/ddosProtectionPlans/recommendations.yaml,YAML,,,,,,,,,,,,,,
Right-Size Network Gateways,Manual,Low,Microsoft.Network/virtualNetworkGateways,"Configure VPN gateways with appropriate SKU sizes that align with your traffic needs. Avoid over-provisioning to prevent unnecessary costs while ensuring scalability.
",UsageOptimization/OptimizeResources,fd1d7585-5edb-41f3-81e2-8d1eea419b3b,,Active,Optimize cost,False,False,False,,"[{'name': 'Azure VPN Gateway', 'url': 'https://learn.microsoft.com/en-us/azure/vpn-gateway/vpn-gateway-about-vpngateways'}, {'name': 'About gateway SKUs', 'url': 'https://learn.microsoft.com/en-us/azure/vpn-gateway/about-gateway-skus'}]",content/azure-resources/network/virtualNetworkGateways/recommendations.yaml,YAML,,,,,,,,,,,,,,
Leverage Virtual Network Gateway for Scalability,Manual,Low,Microsoft.Network/virtualNetworkGateways,"To enhance scalability in development environments, consider selecting an appropriate Virtual Network Gateway SKU that aligns with your anticipated traffic demands. For instance, higher-tier SKUs allocate more CPUs and network bandwidth, supporting increased network throughput. This flexibility allows you to start with a lower-capacity gateway in development and scale up as needed. 
",UsageOptimization/OptimizeResources,e30cff0c-8e71-480e-89a8-40e973f3be7f,,Active,Improve scalability,False,False,False,,"[{'name': 'About gateway SKUs', 'url': 'https://learn.microsoft.com/en-us/azure/vpn-gateway/vpn-gateway-about-vpngateways'}]",content/azure-resources/network/virtualNetworkGateways/recommendations.yaml,YAML,,,,,,,,,,,,,,
"Disallow creation of public IPs using policies, if not required",Manual,Low,Microsoft.Network/publicIPAddresses,"Leverage Azure Policy to deny the network interfaces which are configured with any public IP. Public IP addresses allow internet resources to communicate inbound to Azure resources, and Azure resources to communicate outbound to the internet. This should be reviewed by the network security team.
",UsageOptimization/OptimizeResources,312c7949-4dbb-4ffc-9ceb-2d4063ad3c1f,,Active,Enhance security,False,False,False,,"[{'name': 'Disallow creation of public IPs using policies, if not required', 'url': 'https://portal.azure.com/#blade/Microsoft_Azure_Policy/PolicyDetailBlade/definitionId/%2fproviders%2fMicrosoft.Authorization%2fpolicyDefinitions%2f83a86a26-fd1f-447c-b59d-e51f44264114'}]",content/azure-resources/network/publicIPAddresses/recommendations.yaml,YAML,,,,,,,,,,,,,,
"Consider ExpressRoute for Consistent, High-Volume Traffic",Manual,Low,Microsoft.Network/expressRouteCircuits,"Azure ExpressRoute provides a private, dedicated network connection between on-premises infrastructure and Azure, offering enhanced reliability, speed, and security compared to public internet connections. 
",UsageOptimization/OptimizeResources,2b4d68ae-2968-431d-84cf-f80f371ec55c,,Active,Enhance reliability,False,False,False,,"[{'name': 'Azure ExpressRoute', 'url': 'https://learn.microsoft.com/en-us/azure/expressroute/expressroute-introduction'}]",content/azure-resources/network/expressRouteCircuits/recommendations.yaml,YAML,,,,,,,,,,,,,,
SQL Database elastic pool has no associated databases,Automated,High,type,Review and remove this resource if not needed,UsageOptimization/OrphanedResources,,50987aae-a46d-49ae-bd41-a670a4dd18bd,,,,,,,,content/azure-resources/sql/servers/kql/50987aae-a46d-49ae-bd41-a670a4dd18bd.kql,KQL,tolower(elasticPoolRG),now(),50987aae-a46d-49ae-bd41-a670a4dd18bd,Review and remove this resource if not needed,Microsoft.FinOpsToolkit,strcat(tolower(elasticPoolId),sql,UsageOptimization/OrphanedResources,Preview,Cost,SQL Database elastic pool has no associated databases,High,type,"strcat('\""skuName\"": "
tostring(properties.shortDescription.problem),Automated,tostring(properties.impact),tolower(properties.impactedField),tostring(properties.shortDescription.solution),tostring(properties.extendedProperties.recommendationControl),,tostring(properties.recommendationTypeId),,,,,,,,content/azure-resources/advisor/advisor/kql/84a8b25f-0088-44ce-ac35-19e846b055dd.kql,KQL,tolower(resourceGroup),tostring(properties.lastUpdated),tostring(properties.recommendationTypeId),tostring(properties.shortDescription.solution),Azure.Advisor,id,advisor,tostring(properties.extendedProperties.recommendationControl),tostring(properties.extendedProperties.maturityLevel),tostring(properties.category),tostring(properties.shortDescription.problem),tostring(properties.impact),tolower(properties.impactedField),tostring(properties.extendedProperties)
